cc,pc,place_name,admin_name1,admin_code1,admin_name2,admin_code2,admin_name3,admin_code3,latitude,longitude,accuracy
JP,967-0014,Itozawa,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.1245,139.751,1
JP,967-0015,Takinohara,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.0921,139.7032,4
JP,967-0016,Tonyu,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.1245,139.751,1
JP,967-0021,Koya,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.1987,139.6868,1
JP,967-0022,Shioe,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.1987,139.6868,1
JP,967-0023,Fukumezawa,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.1987,139.6868,1
JP,967-0024,Kanaizawa,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.2039,139.7123,4
JP,967-0025,Shizukawa,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.2008,139.6878,4
JP,967-0026,Haryu,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.1916,139.6603,4
JP,967-0301,Tanose,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.1047,139.5251,1
JP,967-0302,Shionohara,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.116,139.5174,4
JP,967-0303,Fukuwata,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.1047,139.5251,1
JP,967-0304,Matsutohara,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.0933,139.5328,4
JP,967-0305,Tochu,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.1047,139.5251,1
JP,967-0306,Maezawa,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.1047,139.5251,1
JP,967-0307,Suishi,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.1047,139.5251,1
